curso_sigla,periodo,codigo,CorDisciplina,nome,abreviacao,ch
CN,V,CNBR037,#feffe6,PSICOLOGIA DA APRENDIZAGEM,Psic Apre,45
CN,VI,CNBR038,#f1ffeb,HISTORIAS DE VIDA E FORMACAO DOCENTE,Hist Vida Form,30
CN,VI,CNBR039,#e1fdff,DIVERSIDADE VEGETAL II,Dive Vege Ii,60
CN,VI,CNBR040,#e6f0ff,GEOLOGIA,Geol,45
CN,VI,CNBR041,#f1eeff,FISIOLOGIA VEGETAL,Fisi Vege,60
CN,VI,CNBR042,#fff1ff,ESTATISTICA E PROBABILIDADE,Esta Prob,60
CN,VI,CNBR043,#fff9fc,DIVERSIDADE ZOOLOGICA II,Dive Zool Ii,75
CN,VI,CNBR044,#fffbf8,ESTAGIO DOCENTE NO ENSINO FUNDAMENTAL I,Esta Doce Ensi,100
CN,VII,CNBR045,#d86e6e,EDUCACAO DO CAMPO,Educ Camp,45
CN,VII,CNBR046,#d89663,ESTAGIO DOCENTE NO ENSINO FUNDAMENTAL II,Esta Doce Ensi,100
CN,VII,CNBR047,#d6d874,IMUNOLOGIA,Imun,45
CN,VII,CNBR048,#8bcc7f,BIOFISICA,Biof,60
CN,VII,CNBR049,#5cc0be,ELABORACAO DE PROJETOS DE TCC,Elab Proj Tcc,30
CN,VII,CNBR050,#61a0e5,PALEONTOLOGIA,Pale,45
CN,VII,CNBR051,#7b70e5,PARASITOLOGIA HUMANA,Para Huma,60
CN,VII,CNBR052,#d884d8,MORFOFISIOLOGIA ANIMAL I,Morf Anim I,60
CN,VIII,CNBR009,#a079a2,TRABALHO DE CONCLUSAO DE CURSO (TCC),Trab Conc Curs,60
CN,VIII,CNBR053,#d8a38f,EDUCACAO E SAUDE HUMANA,Educ Saud Huma,45
CN,VIII,CNBR054,#ffb7b7,ESTAGIO DOCENTE NA EDUCACAO DE JOVENS E ADULTOS,Esta Doce Educ,115
CN,VIII,CNBR055,#ffdbb0,TECNOLOGIAS APLICADAS AO ENSINO DE QUIMICA,Tecn Apli Ensi,60
CN,VIII,CNBR056,#fdffc0,TECNOLOGIAS APLICADAS AO ENSINO DE FISICA,Tecn Apli Ensi,60
CN,VIII,CNBR057,#d4ffca,HISTORIA E EMBRIOLOGIA,Hist Embr,45
CN,VIII,CNBR058,#a5f7ff,MORFOFISIOLOGIA ANIMAL II,Morf Anim Ii,60
CN,VIII,CNBR059,#aecbff,BIOTECNOLOGIA,Biotecn,30
CN,VIII,CNBR060,#c7bdff,ATIVIDADES COMPLEMENTARES,Ativ Comp,80
